196801;5.63;4.69;3.42;2.86;0.06;3.34;1.31;-0.63;0.45;-3.79;2.68;0.99;-0.08;-6.81;-5.15;1.89;-2.4;-3.12;-5.41;-7.73;-2.76;0.44;-4.67;-5.31;-9.23
196802;-6.81;-6.13;-5.49;-7.1;-8.98;-3.15;-8.28;-2.68;-6.63;-7.55;-3.07;-2.25;-3.83;-6.18;-6.77;-2.28;-1.5;-5.78;-6.56;-5.33;-1.39;-2.31;-2.45;-3.02;-3.34
196803;-0.15;-0.26;-1.45;-1.21;-2.09;-0.54;-2.16;-2.77;-0.95;-0.09;-2.28;0.16;0.72;1.26;-0.24;-2.42;-0.8;-0.12;0.12;0.45;-0.74;-0.52;0.91;0.29;4.49
196804;18.27;16.58;14.38;18.45;18.75;13.2;13.57;10.22;14.43;18.28;10.88;10.74;9.86;15;16.08;7.99;8.41;9.25;11.37;14.18;7.93;3.94;7.43;10.62;10.96
196805;11.66;14.1;9.43;10.65;10.82;7.16;7.8;8.34;10.55;9.22;6.3;3.03;3.09;9.46;8.05;1.26;1.62;2.62;6.27;4.87;0.87;-0.64;-0.52;2.32;3.77
196806;0.07;2.79;1.72;0.17;-0.54;2;0.72;0.11;-1.34;1.06;2.5;3.29;2.11;-0.79;-1.5;4.55;3.43;4.31;-0.08;-2.18;1.19;3.22;1.33;-0.19;-0.62
196807;-1.15;-2.68;-4.47;-3.26;-5.15;-2.53;-1.15;-3.43;-4.4;-7.43;-3.74;-1.76;-3.05;-5.66;-5.34;-3.51;-2.45;-2.2;-3.76;-5.7;-1.39;-1.46;-0.05;-2.26;-3.57
196808;5.35;3.7;3.01;3.2;4.15;4.13;3.79;3.06;2.82;2.73;3.49;3.28;2.55;4.52;4.07;3.88;2.54;3.43;0.87;0.59;1.49;0.9;0.85;1.34;2.09
196809;7.35;5.63;8.36;7.81;8.6;5.61;4.79;7.12;8.75;6.8;6.28;3.53;4.43;6.19;9.08;6.72;5.26;3.92;7.22;7.81;6.78;3.93;1.88;3.06;2.77
196810;0.05;0.23;0.37;2.21;-1.74;0.48;-0.53;1.78;0.11;1.49;1.07;4.15;2.18;2.8;-2.05;4.43;-0.28;1.21;0.17;-1.39;3.61;1.27;2.31;-1.83;0.39
196811;6.01;6.8;6.9;7.42;7.74;8.25;7.41;8.73;8.08;9.56;9.25;8.73;7.7;6.82;9.5;5.81;7.04;8.2;6.34;8.79;0.36;5.74;5.21;7.8;4.87
196812;4;-0.6;-0.25;0.48;2.59;-0.88;-2.06;-1.59;-2.21;0.2;-1.38;-2.48;-2.62;-2.22;-2.14;-1.54;-4.2;-3.49;-3.2;-3.24;-2.44;-4.47;-4.28;-4.85;-4.91
196901;-0.35;-1.05;-1.05;-1.27;-1.61;-0.26;-0.25;0.05;-1;-1.97;-2.48;-0.26;-0.32;-1.68;-4.28;-1.73;1.03;1.25;-0.16;-3.22;-1.03;0.46;0.56;-1.97;-2.36
196902;-10.96;-8.02;-8.53;-9.53;-11.63;-9.71;-4.97;-7.72;-7.18;-10.96;-6.63;-6.51;-7.01;-6.62;-10.44;-4.04;-7.48;-6.63;-6.18;-9.16;-3.15;-4.27;-4.04;-3.78;-4.28
196903;3.47;1.93;1.45;2.8;3.32;0.79;3.03;3.91;4.45;2.72;2.81;2.16;1.17;2.97;3.01;2.36;1.99;1.65;1.64;3.09;2.12;2.43;4.42;5.77;2.01
196904;0.7;0.67;0.62;-0.62;0.12;2.08;3.65;2.38;-0.43;0.35;0.16;3.09;1.19;2.35;1.13;1;1.71;0.25;2.25;1.84;0.36;4.75;1.94;2.22;2.38
196905;1.75;1.52;0.16;2.48;-0.49;0.2;1.11;-0.85;-1.49;-3.48;-0.59;-0.21;1.76;0.53;-1.29;0.73;-0.48;1.34;-0.44;-0.59;-0.4;1.16;1.04;0.22;-0.69
196906;-13.71;-12.37;-12.13;-13.84;-14.24;-12.06;-9.23;-11.31;-11.92;-10.52;-10.59;-8.52;-7.82;-10.71;-11.95;-7.32;-8.85;-7.73;-6.83;-9.03;-6.44;-5.06;-6.21;-2.36;-6.09
196907;-10.06;-10.86;-9.3;-13.44;-12.17;-6.85;-6.6;-9.24;-8.73;-11.85;-5.67;-6.54;-8.14;-7.53;-11.87;-6.04;-6.92;-5.51;-7.69;-8.74;-5.83;-5.42;-6.8;-4.49;-6.39
196908;3.01;4.4;3.84;5.52;5.18;4;3.93;2.25;5.89;7.92;4.88;4.5;5.74;6.84;12.18;3.59;4.42;5.91;5.74;9.67;4.3;2.24;5.58;5.8;7.94
196909;-2.71;-4.62;-2.96;-2.48;-3.59;-0.83;-2.06;1.64;0.19;-0.26;-1.57;-0.42;-0.03;-1.84;-1.06;-0.91;-3.17;-1.69;-0.92;-0.8;-5.03;-2.57;-2.68;-2.33;-3.02
196910;9.11;9.89;7.92;11.81;12.51;7.05;6.48;8.54;6.85;12.98;10.35;5.13;8.09;6.63;8.85;7.63;7.13;6.78;6.1;10.93;3.46;4.4;4.96;5.03;4.2
196911;-6.84;-5.82;-4.38;-6.88;-8.15;-3.8;-5.2;-5.27;-2.84;-5.54;-5.42;-2.99;-5.25;-5.03;-5.65;-3.51;-4.59;-3.26;-3.54;-2.95;-4.86;-2.61;-3.82;-1.87;-1.29
196912;-10.06;-6.63;-4.88;-6.3;-7.54;-8.06;-5.24;-3.37;-4.53;-5.47;-2.68;-3.07;-3.64;-1.66;-3.34;-1.94;-2.21;-2.79;-0.7;-1.29;-3.66;-2.67;-0.31;0.79;-3.12
197001;-0.24;-4.08;-2.09;-5.45;-5.32;-3.09;-1.75;-6.85;-2.33;-8.74;-7.16;-2.83;-5.11;-5.87;-10.9;-8.22;-7.83;-5.66;-7.48;-10.92;-7.34;-4.75;-8.77;-9.19;-10.71
197002;3.66;3.84;2.98;2.15;2.67;6.46;5.55;0.36;2.94;3.89;8.63;3.35;4.96;4.44;3.09;6.47;7.39;5.53;7.61;3.49;8.02;6.71;6.67;4.16;5.44
197003;-1.43;-2.81;-2.37;-5.39;-5.9;-0.76;0.12;-1.36;-2.07;-5;0.81;1.47;-0.7;-1.48;-5.69;1.38;1.06;-0.16;-0.17;-3.79;0.46;1.77;0.09;-1.31;-2.47
197004;-15.97;-17.2;-14.68;-18.43;-20.69;-13.85;-10.14;-12.4;-17.22;-23.28;-12.36;-8.53;-13.68;-15.45;-20.75;-10.92;-8.88;-11.11;-13.08;-18.37;-7.91;-7.2;-8.51;-10.19;-12.27
197005;-9.43;-10.99;-7.49;-10.14;-10.3;-5.4;-8.28;-11.88;-11.37;-13.39;-8.1;-7.74;-8.86;-9.84;-13.84;-9.17;-5.49;-10.17;-7.86;-11.87;-3.12;-4.15;-4.1;-6.78;-9.15
197006;-7.21;-7.69;-7.68;-7.76;-11.05;-6.23;-5.52;-4.33;-8.68;-11.12;-6.89;-4.82;-8.36;-4.47;-6.83;-6.28;-1.83;-4.7;-2.32;-6.87;-4.84;-4.39;-3.76;-5.86;-8.76
197007;5.47;4.64;5.89;4.88;4.45;7.53;9.3;5.77;7.29;7.1;5.33;6.17;7.01;9.13;7.21;11.46;10.45;9.74;6.17;5.75;9.18;9.35;5.62;7.34;5.07
197008;5.4;7.01;7.13;6.38;6.62;6.88;5.62;5.56;8.88;9.96;6.83;7.28;6.87;5.22;5.49;2.74;4.83;6.08;7.22;7.21;4.38;6;3.25;4.35;6.22
197009;14.73;10.33;11.6;14.89;18.91;8.38;8.63;11.12;15.29;17.68;6.19;6.92;6.31;8.97;16.31;7.13;4.44;5.27;5.86;11.23;3.44;1.77;3.18;2.53;7.23
197010;-6.43;-4.5;-5.85;-10.26;-10.01;-3.47;-4.66;-6.5;-5.17;-5.72;-3.5;-3.53;-2.73;-5.04;-8.02;-3.21;-3.44;-3.48;-2.95;-4.62;-1.19;-0.09;-0.68;-1.3;-1.05
197011;-1.72;0.19;-1.31;0.68;-3.37;2.5;4.89;3.99;3.15;0.51;4.04;4.51;3.96;3.72;2.64;4.42;7.18;3.91;5.51;4.37;4.31;6.61;5.29;4.32;5.85
197012;7.68;12.46;11.08;11.03;8.26;8.37;8.79;7.94;10.99;7.97;7.53;8.44;8.44;10.41;7.38;7.46;8.35;10.58;9.28;6.9;7.83;4.3;6.05;6.89;2.9
197101;16.51;10.9;15.53;14.39;15.75;13.29;15.02;9.46;10.44;9.42;8.45;11.03;7.15;8.35;8.4;8.89;8.47;7.18;7.54;5.87;4.41;1.41;4.51;2.58;8.19
197102;4.3;5.48;4.36;5;7.45;1.88;2.41;3.16;3.06;3.4;1.83;1.94;1.82;3.35;3.58;0.98;2.41;2.29;3.38;2.63;3.56;1.63;-0.09;3.35;0.91
197103;6.84;5.12;6.3;6.07;5.9;4.5;2.69;6.71;5.74;7.17;5.27;4.57;6.36;5.18;10.59;4.11;4.13;4.28;5.16;7.19;2.9;2.86;3.93;5.08;7.17
197104;1.77;2.16;2.7;2.92;1.62;5.25;4.12;4.26;1.43;2.08;6.03;3.17;4.05;6.22;4.81;4.72;4.15;2.9;4.37;3.4;4.87;4.58;1.73;2.5;5.73
197105;-5.71;-5.83;-4.24;-6.66;-6.87;-2.47;-3.74;-6.93;-6.21;-3.81;-4.14;-2.29;-4.01;-4.79;-5.13;-3.48;-3.08;-5.45;-2.56;-2.85;-2.97;-3.91;-4.03;-3.85;-1.68
197106;-2.69;-2.36;0;-2.45;-2.61;-2.43;-2.11;0.38;0.97;1.7;-2.44;0.22;-2.51;-0.9;-1.27;-0.51;1.5;-0.32;-0.07;1.96;1.37;-0.69;0.35;1.83;2.08
197107;-6.48;-4.45;-6.22;-7.1;-8.9;-4.1;-5.62;-4.25;-5.6;-6.75;-4.62;-4.06;-2.57;-5.19;-7.86;-7.53;-4.52;-4.36;-3.29;-4.49;-4.42;-4.33;-1.8;-5.17;-4.66
197108;5.24;4;4.05;6.59;2.25;6.77;3.78;4.07;5.68;5.77;6.96;4.6;3.19;6.01;6.76;5.86;7.55;3.83;3.69;6.5;8.81;7.12;2.64;3.06;3.09
197109;-1.58;1.29;-2.2;0.93;1.56;-1.82;-1.78;-2.66;-0.49;1.24;-0.1;-1.89;0.65;-1.06;1.05;-0.76;-0.88;-0.2;-1.02;1.06;-1.52;-0.72;-0.37;-0.18;-0.44
197110;-6.29;-5.6;-7.8;-6.95;-7.23;-5.15;-4.54;-4.34;-4.76;-5.52;-7.43;-6.89;-4.27;-3.41;-6.87;-3.53;-5.48;-2.59;-1.83;-4.53;-5.46;-5.62;-3.94;-1.79;-4.36
197111;-4.86;-4.72;-5.22;-3.55;-4.49;-2.41;-1.3;-1.96;-2.87;-2.24;-1.21;-2.48;-1.47;-1.52;-2.52;-0.65;-2.23;-1.44;-0.86;-1.35;1.69;-0.52;0.36;0.88;1.2
197112;12.43;11.17;12.73;14.3;14.17;12.89;11.28;11.07;12.9;13.83;13.26;11.8;8.98;9.06;12.53;11.18;10.42;9.72;9.47;12.09;3.99;7.85;9.03;9.02;9.18
197201;15.23;10.45;12.13;12.02;12.39;8.52;5.97;6.68;7.5;8.97;5.79;4.69;5.78;5.63;5.34;7.56;2.82;0.5;3.12;4.66;1.26;0.98;1.23;2.39;2.62
197202;4.92;2.72;2.87;4.61;4.03;4.89;4.47;1.13;3.01;4.58;2.88;3.21;3.47;3.69;4.12;1.8;2.52;2.55;1.69;3.83;0.9;2.1;4.41;1.97;5.01
197203;-0.93;1.77;-1.46;-1.77;-0.39;-1.32;-0.85;-0.05;2.59;1.38;0.07;0.52;2.79;-1.06;2.92;2.12;2.39;-0.49;0.36;1.53;2.69;1.01;0.66;0.87;0.27
197204;1.36;0.18;-0.69;1.19;-1.08;2.09;1.89;1.31;0.91;0;-0.91;-1.54;0.18;-0.07;2.17;2.62;0.21;0.12;-0.52;-0.79;-3.09;0.84;0.87;0.63;1.5
197205;-2.67;-1.61;-3.39;-2.28;-2.82;-1.13;-1.92;-2.34;-2.72;-1.14;-0.52;-1.95;0.29;-0.08;0.01;-1.51;-1.3;-0.03;0.86;3.83;-1.89;0.79;2.99;2.5;4.13
197206;-3.54;-2.59;-4.45;-2.79;-4.6;1.05;-3.64;-3.19;-0.82;-3.85;-3.3;-2.15;-3.26;-4.43;-1.24;-4.81;-4.47;-3.03;-2.14;-4.78;-1.96;-2.64;-1.6;-1.61;-0.73
197207;-3.52;-1.68;-3.52;-4.81;-6.7;-5.13;-3.81;-1.88;-2.97;-4.2;-1.88;-0.37;-3.07;-1.37;-3.76;-2.63;-0.97;-2.69;-2.97;-3.15;-1.62;-0.22;0.59;0.76;0.55
197208;0.58;1.64;1.15;0.27;-3.21;1.35;-2.03;3.17;2.97;0.45;5.97;4.53;2.58;1.92;0.35;5.54;4.2;3.8;3.05;0.98;6.24;8.36;2.56;4.22;2.36
197209;-4.48;-4.27;-4.83;-2.5;-4.97;-4.63;-2.36;-2.39;-2.4;-3.09;-2.99;-1.65;-1.92;-0.59;-1.96;-4.67;-2.24;-2.12;-1.86;-1.38;-3.64;-1.51;0.21;0.52;-0.51
197210;-2.83;-0.68;-2.92;-3.63;-4.07;-0.36;-0.04;0.95;-0.31;-2.51;-0.87;3.05;-1;0.68;-2.93;1.41;0.9;-0.65;0.23;-1.11;-0.83;2.09;2.35;0.54;1.72
197211;5.3;4.62;4.44;4.8;3.72;6.67;6.44;5.96;5.88;3.79;6.01;6.65;5.43;5.48;3.82;8.09;6.73;8.29;9.44;5.7;8.61;7.47;4.54;3.76;3.02
197212;-2.12;-0.23;-2.23;-3.2;-3.11;-3.81;-3.42;-2.2;0.72;-0.63;-1.05;1.47;-1.07;-1.83;0.3;-2.23;-1.58;-1.64;-1.22;0.47;-2.36;-0.18;2.15;2.51;1.88
197301;-1.78;-2.05;-4.6;-4.19;-5.68;-6.14;-5.81;-2.42;-9.21;-7.22;-6.73;-5.85;-4.09;-5.14;-8.67;-6.74;-3.91;-5.04;-6;-6.64;-3.93;-2.03;-1.8;0.18;-3.62
197302;-7.78;-7.51;-7.73;-6.95;-11.26;-8.2;-7.84;-6.06;-8.79;-8.22;-7.99;-6.98;-5.98;-6.58;-10.38;-6.34;-5.39;-3.88;-5.24;-8.19;-3.65;-4.71;-4.56;-2.8;-2.2
197303;-2.76;-1.8;-1.72;-2.26;-4.43;-0.14;-2.36;-3.21;-1.6;-2.88;-2.08;-1.24;-3.4;-3.61;-4.96;-1.39;-2.9;-2.6;-2.34;-3.44;-2.55;1.52;0.12;0.43;-1.21
197304;-7.81;-4.05;-4.19;-7.31;-11.17;-6.26;-6.23;-4.07;-7.22;-10.12;-5.09;-3.72;-5.6;-4;-10.77;-5.71;-4.38;-5.81;-4.71;-9.61;-3.42;-2.68;-3.6;-4.13;-5.24
197305;-9.64;-6.82;-7.18;-10.13;-11.7;-10.89;-7.91;-7.41;-7.53;-8.86;-6.22;-6.68;-6.47;-2.36;-9.03;-8.72;-2.94;-3.67;-2.99;-6.94;-2.47;-0.92;-1.28;-1.13;0.11
197306;-1.42;-4.02;-2.87;-4.42;-5.92;-3.68;-0.2;-3.14;-4.03;-4.94;-2.63;-3.69;-1.08;-3.74;-4.12;-3.81;-4.06;-2.02;-2.79;-3.74;-4.75;-0.77;0.25;0.26;-1.3
197307;13.02;11.23;11.01;13.61;18.27;9.93;9.45;10.49;9.77;18.84;9.51;7.1;7.4;7.98;13.81;9.63;9.59;7.33;8.14;13.38;4.23;3.25;2.95;3.33;8.59
197308;-4.98;-5.18;-4.01;-5.54;-7.05;-4.85;-4.65;-6.68;-3.75;-3.73;-2.34;-1.56;-2.84;-4.28;-3.46;-0.46;-1.99;-2.12;-2.07;-2.93;-1.1;-3.44;-3.8;-3;-3.96
197309;9.22;6.69;9.91;8.7;10.69;8.48;10.01;11.37;9.63;11.28;12.07;9.85;9.5;10.01;10.24;10.4;11.32;10.53;9.88;12.02;7.52;8;7.16;-2.08;4.1
